NIT,NOMBRE,CALIFICACION_PROMEDIO
53520104,"Edwards, Durham and Rosales",2
09062511,"Cole, Osborn and Vang",2
56108415,"Hernandez, Bush and Thompson",2
66780113,Villarreal and Sons,2
75344436,Hall Group,1
32186697,"Burns, Gillespie and Campos",4
03234860,Gordon-Glass,2
16522220,"Cabrera, Bradley and Cooper",4
66411437,Rodriguez Group,5
01137644,Ross Inc,2
51972356,Rice Group,3
73237082,"Taylor, Walter and Alvarez",4
02471990,Ellis Inc,3
01757613,Price Ltd,1
43156467,"Young, Rhodes and Miller",2
11119906,Fuller-Powers,4
93795401,Johnson-Perry,2
22549792,"Duffy, Byrd and Martinez",1
47393233,"Rojas, Joyce and Davis",1
84746115,"Alvarez, Jones and Ross",5
77517784,Horton PLC,4
35758075,"Adams, Fleming and Vargas",3
79324465,"Gilmore, Freeman and Barnett",4
82335137,Moore-Peterson,4
42513308,Hartman Ltd,4
60435811,Lopez-Green,2
98812189,"Bell, Weaver and Kirk",1
21913662,Schmitt and Sons,4
09698147,Powers Ltd,5
69463600,Hernandez-Abbott,4
24121057,Gordon Inc,4
05294152,Stevens Inc,2
46413000,Liu Inc,5
64343877,Griffin-Serrano,3
65979679,"Duncan, Sandoval and Valencia",3
59701828,"Hall, Johnson and Ortega",3
38269042,Brown PLC,4
38729454,Fernandez and Sons,4
86179683,Jackson Inc,5
14902413,Atkins LLC,3
55718189,Maynard Group,4
68668112,"Whitehead, Crosby and Mcmillan",1
28263609,Mills-Norton,5
66694052,Horton-Marshall,5
27692301,"Mccormick, Friedman and Henderson",5
11532774,Mora-Fleming,5
39685759,"Morgan, Taylor and Snyder",2
02146737,"Thompson, Stewart and Glover",5
50139217,Jackson PLC,4
66440772,Trujillo Group,4
71310800,Benton Inc,2
79409605,"Wilkins, Hubbard and Juarez",3
06879006,"Acevedo, Smith and Huang",1
38128479,"Gonzalez, Robinson and Lawrence",5
05324927,"Ryan, Wilson and Walker",4
59507444,Lopez-Miller,5
65325490,"Nunez, Hughes and Cooper",5
10045497,Gomez-Green,1
28929420,"Gallagher, Page and Stephenson",1
88211558,"Benjamin, Bailey and Huber",3
78267435,Cowan-Smith,2
37731601,Miller-Pena,3
67261314,Waters-Morales,5
02361536,"Brown, Robinson and Pennington",2
48416078,Thomas LLC,2
25939026,"Harding, Marshall and Harrison",4
66363712,Sutton PLC,4
58341889,Blake Inc,5
19309668,Cervantes-Wright,4
31795296,Patton Ltd,2
62940368,Bryan-Jordan,2
18396294,"Ward, Dawson and Davenport",4
00769341,Gray-Bailey,3
16283510,Johnson Ltd,4
96458341,Harris Group,1
87867428,"Gardner, Robinson and Powell",1
84948212,"Walker, Williams and Schroeder",2
39153616,"Mcdonald, Harris and Vargas",5
11042075,"Hines, Kane and Stewart",3
25718232,Skinner-Cabrera,2
08301635,Dunn-Ross,1
12779925,"Ramirez, Vega and Jordan",2
10461082,Silva-Smith,3
83738647,Porter-Mcintosh,2
70795455,Rios Ltd,4
07325694,"Rodriguez, Dodson and Rose",1
19906270,"Miranda, Taylor and Miller",4
38135996,Rojas and Sons,5
48416719,Stokes Group,3
86350945,Ramirez-Hubbard,1
37571429,Daniels Group,1
62463669,"Lam, Romero and Freeman",3
97927884,White-Gonzalez,4
44100056,Odonnell-Gibson,2
58852552,"Vasquez, Fields and Cunningham",3
34004043,Burgess Inc,1
02510507,Baker and Sons,5
35608738,Cochran-Hart,2
21325601,"Gonzalez, Maldonado and Wilson",5
94580167,Ellison-Moyer,3
20009960,Randall-Christian,5
63642667,Hatfield and Sons,5
34560822,Browning-Arnold,5
47154452,Ellis PLC,4
20503055,Colon Ltd,5
96743270,"Carr, Williams and Charles",2
44869472,Mccarthy-Rivas,1
20617363,"Ingram, Chen and Wilson",1
81110711,Fowler and Sons,1
20796341,"Bates, Webb and Young",5
08262080,Morgan-Sharp,4
19430751,Davis Group,4
73141594,"Chang, Nguyen and Robinson",1
76354182,Mullins-Martin,5
17161220,Jackson-Kelley,1
43955176,"Turner, Pacheco and Smith",1
34204641,"Salinas, Henderson and Jensen",3
03548721,Ibarra Ltd,2
61719521,Barton-Mcgrath,2
94510492,Green Ltd,2
40762661,"Webster, Hawkins and Schmidt",4
97975182,Williams PLC,2
06211684,"Phillips, Jackson and Cain",4
25438994,Bailey Inc,5
82712167,"Everett, Black and Carrillo",2
48350730,Juarez PLC,5
85106444,Lopez PLC,1
42648383,Cobb Inc,1
49331851,Kane Inc,5
84043528,"White, Greene and Obrien",3
28941125,"Hester, Allen and Mcgee",2
72679050,Williams-Hunt,3
55081832,Sanchez and Sons,5
95922812,"Tran, Maxwell and Calderon",1
81244744,Chambers-Fisher,2
74795352,Oneill-Perry,5
31771443,"Lindsey, Garcia and Harper",3
65230862,"Miranda, Holmes and Hill",4
52716157,Gaines Group,4
38558818,Miller-Reeves,4
96088517,Moss LLC,4
24051453,Morris-Lewis,1
04939559,"Riley, Anderson and Koch",2
03143131,Cisneros and Sons,5
19813097,Curtis Group,5
52456435,"Alexander, Carter and Burch",2
46826275,Schultz-Reynolds,3
16670976,"Dixon, Brown and Ford",5
20112387,Glover-Welch,2
36638284,Le Ltd,3
50610198,"Valdez, Lutz and Walker",3
87400069,Arias PLC,4
49112603,Robinson-Harrison,1
03786161,"Weaver, Goodman and Swanson",4
55835954,Hawkins Ltd,1
87476118,"Rice, Valencia and Rose",3
10106259,Davis and Sons,4
09887565,Wells-Lopez,4
03333907,Daniels Ltd,4
13931896,Obrien Group,2
15606488,Miller-Smith,1
50477524,"Wilson, Bailey and Brown",1
46171320,Kramer Inc,4
92120600,"Hall, Henderson and Thomas",3
79855983,"Wood, Medina and Gray",4
30878730,"Farley, Castaneda and Obrien",3
34660010,Miller-Hubbard,4
46722751,Walker and Sons,5
91380654,Rodriguez-Palmer,1
61906945,Thompson Group,2
79236508,"Greene, Wright and Murphy",2
26883007,Ayers PLC,2
38096129,Powell Inc,5
48168335,Webster-Guerrero,2
25575026,"Molina, Larson and King",1
36239382,"Nash, Mullins and Bryan",2
82532949,Rhodes PLC,3
15578129,"Jones, Smith and Ruiz",5
50289493,Montgomery-Myers,5
11490890,"Gilbert, Gonzalez and Cain",5
82453442,Parrish-Keller,4
17401432,Duncan-Lara,1
90361999,Smith-Bauer,1
19223506,Tucker-Bailey,4
47681866,"Morgan, Lopez and Wallace",2
48720496,"Shaffer, Briggs and Henderson",1
83271625,"Gill, Brooks and Jordan",5
26659558,Brown-Fisher,3
23553675,Harvey Inc,4
68600907,Thomas-Cardenas,1
22570949,Brown-Ramos,2
13951450,Diaz-Fleming,4
32121995,Marquez Inc,4
75208196,Reed-Snyder,3
69824685,Hughes-Garrett,4
15157874,Haley-Kirk,2
80381877,Carter Group,3
18864687,Richardson-Mahoney,4
62204040,Macias Inc,4
36247967,"Johnston, Hanson and Garcia",1
64614755,"Stewart, Romero and Cooper",2
88045405,Moore-Snow,5
38070402,Johnson-Martinez,1
03476505,"Hernandez, Hernandez and Crawford",2
62550444,Tran-Klein,1
73400080,Hahn PLC,4
76011252,Mays-Hamilton,2
37558000,Mitchell LLC,3
78491182,Pena PLC,3
81134557,Poole-Roach,5
10266069,"Murphy, Mosley and Lowe",2
62360531,Lopez-Joseph,3
08225528,Johnson and Sons,3
27603604,Clark-Merritt,2
24328708,Bennett-Gibson,5
99095055,Martin Ltd,3
95417509,"Ferguson, Galloway and Smith",3
22371478,Oliver-Potter,5
12690886,"Mcgrath, Bird and Kirby",3
14049484,"Thompson, Ortiz and Young",1
21248979,Nicholson-Campbell,2
46332295,Henderson-Rogers,4
01386813,Thomas LLC,2
29608348,Patterson and Sons,3
29889587,"Stevens, Larsen and Smith",3
93327336,Dunn Ltd,5
37766658,Ramirez-Robinson,5
17837064,"Smith, Hill and Rojas",1
47322851,"Norris, Mcclure and Morgan",4
58388181,Strong-Ward,3
18495973,Roberts Ltd,1
92678606,Martin Group,4
06147488,Rodriguez Group,3
09545410,Simon-Sampson,5
88018423,Stevenson-Smith,5
68562892,Weaver Inc,5
37826949,"Alexander, Wheeler and Miller",5
95950020,Anderson Inc,1
48236393,"Hawkins, Olson and Arroyo",4
55140324,"Johnson, Garcia and Jones",2
80346197,Richardson Inc,1
28000181,"Wallace, Stephens and Lloyd",2
31266925,"Johnson, Collins and Webb",2
44113131,Dickson Group,3
78009837,"Taylor, Davis and Gonzales",2
04706496,"Morris, Barron and Evans",2
39521675,"Taylor, Wilson and Juarez",1
61887954,Summers Inc,2
28133575,"Whitney, Lee and Klein",5
41748114,Weaver-Sullivan,1
22376244,Edwards LLC,5
63069976,Moses-Diaz,1
95295503,Decker-Lee,5
38479403,Vasquez-Wilson,3
08383143,Cook Group,1
67236473,Henson-Edwards,4
06402310,"Jones, Bryan and Johnston",5
76300011,Martinez LLC,2
57793542,Cardenas-Mendoza,4
71180434,"Brewer, Smith and Goodman",3
47512702,"Brooks, Jimenez and Collins",3
73515586,"Armstrong, Kirby and Leon",3
53590497,Hill Ltd,3
82697907,Dixon Ltd,4
21028243,Nguyen Inc,2
54741362,Reyes-Dixon,5
33772615,Maldonado Inc,4
87785739,Melton PLC,3
82827151,"Bailey, Gonzalez and Costa",4
24701952,"Estrada, Steele and Price",3
23370203,"Estrada, Perez and Reyes",3
66723738,Rodriguez Inc,2
53609434,Foster-Hall,5
19870298,Taylor Ltd,1
47062696,Carroll and Sons,5
69749049,Rhodes PLC,2
35014102,Barnes Group,1
48408349,Rodriguez and Sons,1
85653696,Adams-Torres,5
14233036,"Griffith, Avila and Smith",1
54422278,Spencer Ltd,1
07739514,Mcguire PLC,1
94300710,"Rodriguez, King and Cunningham",3
92254961,Briggs-Scott,5
94417227,Stewart-Ortiz,3
61924505,Simmons LLC,4
70837186,Young LLC,4
83397677,Cole-Montgomery,2
55859882,Miller-Davis,3
99832780,Robles-Brown,2
91408969,"Carr, Garcia and Martinez",2
58519578,Parker-Sanchez,4
88925295,Lang-Mejia,3
30506503,"Valentine, Jones and Carrillo",1
14251924,Evans-Summers,1
82059316,"Livingston, Walker and Lutz",4
81750030,Garrett-Gonzales,1
40374918,"Baxter, Aguirre and Kelly",1
46500564,"Jackson, Torres and Reeves",2
60426451,Black-Landry,1
54972933,Johnson PLC,2
33766041,West-Soto,5
58560983,Rogers-Murphy,4
91673084,Lopez-Oliver,5
93067973,Johnson-Brady,3
72205259,Curtis-Owens,5
00934961,Davis-Hall,1
60075192,Dennis-Pace,2
30976689,Wilson PLC,1
37278113,Ortiz-Bishop,1
73663201,Booth-Butler,4
50614745,Parker and Sons,2
19981550,Zamora PLC,1
17533164,"Bennett, Newton and Higgins",3
72083963,Ortiz Group,3
77373243,Mcpherson and Sons,5
98455294,"Wilson, Greene and Martinez",1
46838834,Brooks-Brown,3
91869098,Simmons LLC,5
51637583,"Perez, Harris and West",4
09872325,Davenport-Shannon,4
38727955,"Castillo, Choi and Roberts",4
35101505,Duncan-Tanner,4
70014846,Valenzuela-Jones,2
05024971,"Johnson, Lopez and Wilson",4
27830710,Fischer and Sons,1
33354309,Juarez-Nash,1
22779885,Johnson LLC,1
97096245,Kim LLC,1
37547653,Jenkins-Walker,2
53772725,Peterson-Perez,4
55602266,Griffin PLC,2
93865210,Valdez-Escobar,4
65626238,Ford-Fields,2
17129695,Martinez-Reed,2
66143680,"Powell, Ellis and Smith",5
49101652,Hayden-Copeland,5
83177811,"Middleton, Hunt and Morrow",1
60313867,Watson-Russell,5
81959440,Valdez-Rodriguez,4
61265455,"Williams, Herring and Perez",5
04142126,Lester-Flores,3
53400666,Berry and Sons,5
70395518,Davis-Peterson,3
19581965,Simmons-Drake,1
08601506,"Acosta, Smith and Porter",4
04910060,Russell Inc,1
40878218,Brown PLC,2
32920550,"Smith, Gordon and Buchanan",2
88547633,Robertson LLC,5
56532746,"Wilkerson, Barber and Leonard",3
43594078,Mckay Ltd,2
66167822,Hahn-Mata,1
35519591,Moreno and Sons,5
17505925,"Lynch, Castillo and Calhoun",2
46905581,Brown Inc,1
02566610,Jennings Inc,4
93705080,Romero-Shannon,1
28112686,Torres-Steele,2
14128202,Ballard PLC,2
08032355,"Spears, Walton and Cain",2
41918647,"Butler, Nelson and Castro",1
29305148,Lee-Hammond,4
47062733,Morrow-Torres,1
39811783,Nunez LLC,1
29922710,Reynolds Group,5
94898880,"Owens, Moyer and Davidson",4
48768399,"Rogers, Perez and Johnson",3
22320070,Charles-Bradford,4
35743675,Rose-Smith,4
89258415,Pratt-Reese,5
97571964,"Richards, Smith and Collier",4
71796642,Stewart-Rogers,2
04128564,Gonzalez-Anderson,2
65993507,Washington-Odom,1
00186179,"Erickson, Solis and Hamilton",5
87081947,"Santos, Brown and Carroll",1
17228077,"Tate, Pennington and Williamson",5
34904640,"Henderson, York and Huang",4
33605470,Schroeder Ltd,1
69333071,"Ray, Walker and Haas",2
83257421,"Wright, Adams and Webb",4
50043248,Blair-King,4
87074734,Ramos Ltd,2
23774650,"Garcia, Woods and Reed",3
00653824,Hunter and Sons,5
79492522,"Cole, Miles and Morgan",5
44807122,Johnson Group,2
97666059,Glenn Inc,5
17587600,Hall and Sons,4
95015460,"Thomas, Stewart and Owens",3
93542777,"Cox, Monroe and Baker",1
21761515,Snyder and Sons,1
50495528,Browning-Hodges,3
64097091,Gonzalez LLC,2
65193020,"Lyons, Spencer and Jackson",1
43114108,Freeman-Martinez,4
93379007,Houston LLC,3
45956065,Mitchell PLC,1
35351177,Haynes-Tate,2
95756233,Garrett LLC,3
78341531,Johnson PLC,1
73696025,Woods PLC,1
78409293,Collins-Martinez,3
72111789,"Peterson, Doyle and Cummings",2
01915563,Rhodes Group,3
86981224,Russo-Wilson,2
98232505,Martin Group,1
63162721,Taylor-Howard,5
19985398,Reeves-Wilson,5
04886716,"Palmer, Townsend and Houston",2
89978665,Williams Ltd,2
74321568,Bishop Inc,2
42576488,Robinson Group,5
77797995,Herrera-Miller,2
97845393,"Anderson, Bright and Lee",2
83801945,"King, Elliott and Sparks",2
63875768,Weber and Sons,5
16377783,Nguyen Ltd,5
16138384,"Bates, Andrade and Sullivan",3
45226779,"Olsen, Perez and Sanchez",5
80489429,"Simmons, Allen and Webb",4
97143710,Williamson-Chan,4
51513368,Jacobson-Hicks,4
20300005,Gallegos-Lewis,4
71835259,"Davis, Bridges and Nixon",4
26326627,"Martin, Hudson and Herrera",1
23273962,Carter and Sons,3
10248287,Phillips-Padilla,4
95425078,Gibson Ltd,4
56412963,"Brown, Lee and Barker",5
94113556,King and Sons,3
47330849,"Brown, Hernandez and Murray",3
92558656,Mendoza-Curry,3
97593812,Williams-Scott,1
18426175,"Phillips, Perry and Morales",4
61539846,Ramos-Robbins,3
97583714,"Gonzales, Zimmerman and Gregory",2
75657932,"Moon, Simmons and Sexton",1
18242676,Moody-Murphy,3
00657594,Bryant Ltd,3
00478090,Smith-Brown,5
53556646,"Johnson, Haley and Rosario",2
06226268,"Lawson, Espinoza and Cole",5
06219307,Riley Ltd,3
34153574,Frank-Horton,1
26469454,"Thompson, Grant and Hoffman",1
97192565,"Wilson, Pierce and Landry",3
80802723,Pratt-Dean,5
09807600,"Williams, Sanders and Vargas",2
85480438,"Browning, Santiago and Cook",1
09827844,Hawkins-Mora,5
02590240,"Humphrey, Roberson and Jarvis",3
10518960,Mejia-Hopkins,5
24538084,"Harrison, Walker and Duncan",4
87436754,Crawford Inc,2
20197544,Whitehead-Park,3
63511826,"Smith, Olsen and Welch",4
88527840,Anderson PLC,2
59738145,"Powell, Francis and Bowers",1
61268708,Knox Group,2
55126663,Greer Group,4
56963373,"Conner, Mcconnell and Bartlett",3
95532912,Mann-Cabrera,2
80964483,Chan and Sons,1
45937330,Fox-Reeves,3
28094197,Wells-Newman,1
52532436,Wilson and Sons,2
14939563,"Lee, Reid and Hamilton",3
80006053,White Ltd,4
75794569,Copeland-Castillo,1
58595442,Mills Inc,1
12873814,Mosley Ltd,1
21456282,Bailey Inc,5
67556366,"Bailey, Rivas and Butler",3
93951302,"Williams, Rodriguez and George",1
77289018,"Lee, Pearson and Alvarez",2
77720115,"Perez, Davis and Patel",4
87533569,Gutierrez-Hill,3
14171567,Patel Ltd,3
73244103,White-Flores,1
15394132,Bennett-Mcdonald,3
00599573,"Henry, Gonzalez and Jones",2
28558811,Mata Inc,4
25805024,"Butler, Anderson and Parker",3
48734158,Woodward Inc,2
53782588,Harris-Short,5
49639391,Washington Group,1
38299056,Combs-Love,2
21980664,Reynolds-Dyer,4
19727264,Bates-Johnson,1
23458970,"Mills, Dominguez and Vasquez",2
49589191,Aguilar Ltd,3
27475089,Sharp LLC,1
35829409,Stevens-Santos,1
30513037,Castaneda-Washington,5
31681650,"Simpson, Morrison and Carter",2
32777086,Gordon-Maynard,3
15264909,Cook-Rivera,1
74154562,Pineda Ltd,1
95415192,Mccarthy-Green,3
79201889,Scott-Diaz,2
52532320,Carson-Randolph,5
85042544,Roberts-Hudson,4
22152848,"Casey, Diaz and Reid",4
83986598,"Stevenson, Carr and Evans",2
64122298,Curtis PLC,4
51974923,"Mcmillan, Dunn and Johnson",4
44892197,Bell-Foster,4
57176574,"Vega, Rodriguez and Haas",2
74160884,"Armstrong, Velez and Sutton",4
08524218,Patterson-Lewis,5
34317181,Montgomery-Bright,1
40483665,"Watson, Gray and Hill",2
77143136,Perry and Sons,4
54912861,Valencia Group,3
14878343,Mathis and Sons,5
19681030,"Nelson, Meza and Brown",3
77460400,Bridges LLC,3
51695217,"Nelson, Lee and Lewis",5
38600494,Archer-Walton,1
96556511,"Ortega, Clark and Rogers",1
50377718,"Holloway, Barton and Lyons",3
92707702,Adams Group,2
31936033,Moore-Leonard,4
13016760,Garcia-Mitchell,4
83240485,Lopez Inc,5
38925658,Lopez-Davis,4
50606566,"Carlson, Hawkins and Caldwell",3
87253955,Howard-Luna,1
28516477,"Wheeler, Roberts and Avila",3
51222857,Sparks Group,3
71437217,Williams PLC,4
94963304,Martinez and Sons,4
53841735,"Farmer, Mitchell and Robertson",2
11083542,"Foster, Drake and Hunter",5
06359942,Mendoza PLC,1
52180934,Pollard-Davies,4
35345473,Stewart-Murray,3
40991818,Strong LLC,2
64499765,"Rodriguez, Figueroa and Tran",4
63278859,Roach LLC,5
63396461,Kelly-Mccall,2
31567008,Sanchez Ltd,5
05052998,Malone-Dyer,2
31040068,"Peterson, Brown and Andrews",2
84927514,"Davenport, Mason and Silva",4
43432929,Henry Group,5
35364702,Mcdonald PLC,4
30240971,"Melton, Taylor and Smith",2
06644086,"Hudson, Schroeder and Wood",1
37228859,Hall-Brown,1
79064699,Jones LLC,5
94603156,Morris Ltd,2
28033073,"Torres, Ross and Parker",4
53030818,Whitehead Group,2
56910995,Willis Group,5
55430814,"Mercer, Marquez and Calhoun",2
19574455,"Carter, Anderson and Mcdowell",2
52658389,Smith-Kelley,2
32008944,"Sims, Valenzuela and Butler",5
81410682,White PLC,1
71585765,"Lee, Mclean and Campbell",1
32721966,Jones-Davis,4
46562784,Scott-Smith,1
03045541,"Camacho, Martin and Jackson",2
03475188,Hayden LLC,1
02573892,Watson Ltd,3
39039293,Russell Group,2
87505009,Valdez Group,5
08453907,Bates-Leonard,5
89827154,Gomez-Duarte,4
64130002,"Williams, Sampson and Chavez",2
92225435,Moore Inc,1
68521035,Short and Sons,1
43879991,"Miller, West and Washington",1
85480902,Gallagher Ltd,2
51271787,Johnson and Sons,1
88968995,Nielsen-Neal,5
83110108,Torres-Bryant,1
74596089,Hendricks LLC,5
53323934,"Hernandez, Taylor and Moore",3
21736704,Pierce Ltd,1
59523086,Perez-Mckenzie,3
94757439,"David, Parrish and Mathews",3
43941551,Nelson PLC,2
79701785,Patrick Group,4
15478795,Walker PLC,4
00426572,Tucker and Sons,3
19028255,Caldwell Group,1
82659813,Burns LLC,2
47295582,"Jones, Reyes and West",2
34347461,"Wilson, Garrett and Larson",5
94860412,Schneider-Russell,4
35690290,Jones Ltd,3
30831247,"Lopez, Mayer and Wagner",4
85552944,"Martinez, Robinson and Wright",4
67255368,Weaver Ltd,1
19445786,Ball-Wood,5
39144065,Kim-Smith,4
93244190,"Castro, Jensen and Parks",4
32875348,Pollard PLC,1
54093461,Lee-Lee,3
00573108,Merritt LLC,5
35855583,Vega-Greene,5
16984592,"Medina, Hopkins and Parker",1
81511303,Carroll PLC,5
27599525,Carpenter LLC,3
17305075,"Kelly, Davis and Mendoza",3
65507926,Stephens Group,4
00135962,"Watkins, Aguilar and Crawford",2
11728030,Mayo-Welch,5
11460220,"Johnson, Jones and Moore",3
31474306,Alexander and Sons,3
30413245,Chan Inc,2
95773025,Costa-Carr,1
72083369,Mcgrath-Estes,2
88257365,"Smith, Torres and Stephenson",3
62810081,Patel PLC,2
36268153,Nichols-Allen,2
15514110,Gonzalez-Medina,2
98462858,Henderson-Nunez,1
82856496,Freeman Group,2
83645457,Martin and Sons,2
15668172,Holmes PLC,1
78882102,Moreno-Gordon,5
63045567,"Horton, Rhodes and Jones",3
67322794,Blanchard Ltd,2
20460310,Rogers LLC,5
96187715,"Berg, Harvey and Morgan",5
62488136,Lowe LLC,3
19853017,"Rodgers, Williams and Hall",4
44059736,Taylor Inc,5
96763025,Mercer Ltd,1
78975606,Murray Group,5
28514930,Nelson-Jones,4
84884596,Carrillo-Norris,2
45628986,Wise PLC,3
19843438,Reed Ltd,4
75210922,Ortiz LLC,4
55220125,"Adams, Crawford and Garcia",5
40732664,Day LLC,2
20784676,Hall-Marshall,4
32070170,Long-Haynes,3
48793308,Reynolds PLC,1
37025731,Wang-Hall,1
73822851,"Hess, Patterson and Campbell",2
15902979,Sandoval Ltd,3
25922127,Gardner-Mora,4
82501761,Sanchez Ltd,2
22718013,"Johnson, Barnett and Diaz",4
32991888,Smith and Sons,3
81924271,"Dean, Gomez and Castillo",3
44923976,Moran LLC,4
18217179,Franco-Miller,1
32402995,Olsen-Dennis,1
70376265,"Barker, Beck and Stewart",2
15683120,Peterson-Matthews,1
94608618,Silva-Ruiz,2
49193282,Taylor-Mclaughlin,3
31721578,"Bolton, Parks and Coleman",1
21414107,Wade PLC,2
31833219,Nicholson-Hill,5
61856738,Peterson LLC,4
75979430,Campbell Inc,1
92073852,Swanson Group,1
47566347,Harrison-Miller,5
90723346,Daugherty LLC,4
60560575,Andrews Inc,4
22642899,Jones-Combs,3
39010933,"Roberson, Tanner and Benton",5
06249885,Wright LLC,4
10259344,Newman-Bishop,1
96103517,"Evans, Gonzalez and Welch",5
71341118,Andrade LLC,3
23431706,"Wang, Alvarez and Hall",4
36164370,Thompson and Sons,1
03230299,Martinez-Thompson,3
69456596,"Hayes, Schwartz and Reed",3
60911049,Richards Group,1
64580043,Clarke PLC,5
29124596,Mcconnell Inc,2
46422255,"Cain, Smith and Weber",5
22280107,Sullivan-Hamilton,1
74009763,"Barron, Fuentes and Jones",5
43135448,Reyes-Moreno,1
23831155,Santana PLC,2
05389278,Payne and Sons,4
48178587,Hogan Inc,2
45880070,"Ford, Allen and Wright",1
42604105,"Welch, Crosby and Hickman",1
23960701,"Mcclain, Powers and Gonzalez",4
65816752,Mayer-Bennett,2
34409879,Jones-Scott,1
28688822,Reed-Hicks,4
45051319,"Woods, Hawkins and Bailey",5
89613290,"Gray, Brewer and Jones",2
00605595,"Perry, Rodriguez and Watson",3
31210768,Kidd-Fry,2
32911893,"Mcdaniel, Ali and Myers",4
21276569,Cobb Inc,3
73253815,Baxter Inc,3
17660129,Arellano-Ritter,4
40908236,"Day, Booker and Hull",2
94583052,Carr-Wong,3
73306573,"Hill, Powers and Wilkinson",4
23434196,Taylor-Chen,2
44887162,Hale Ltd,3
30739826,"Trevino, Villanueva and Garcia",4
21864148,Rios LLC,4
07402432,Lamb LLC,5
23575998,Hahn Group,1
83432101,"Davis, Jones and Duffy",2
18967432,"Moore, Johnson and Payne",1
53226785,"Montgomery, Miller and Mitchell",4
71873473,Castro-Dalton,2
15491534,Knight-Norman,4
02286679,Lopez Group,2
25874907,"Phillips, Ramirez and Hernandez",4
81823444,"Vance, Burton and Buck",5
04538738,"Duncan, Long and Nelson",2
19448831,"Pineda, Owens and Baker",5
36576272,"White, Harvey and Oconnor",2
54357914,Freeman LLC,1
74569410,Willis and Sons,2
98739530,"Hernandez, King and Terrell",1
65029312,Torres Group,4
45877247,Lawrence LLC,5
33690469,Moore-Beard,2
06891145,Edwards Inc,3
97630807,Porter-Green,4
70198508,"Dillon, Webb and Thompson",1
40781334,Wagner PLC,1
04510864,Hamilton-Sharp,5
