ID,ID_CONTENEDOR_ACTUAL,EXISTENCIAS_ACTUALES,NIVEL_REORDEN
713,713,8988638,46586
714,714,3605180,82130
715,715,5124870,17827
716,716,1604956,43813
717,717,3019874,25940
718,718,7574535,53119
719,719,1327083,70093
720,720,1429048,64955
721,721,3105111,45100
722,722,495784,4355
723,723,4326751,27297
724,724,3398594,85772
725,725,8908883,10041
726,726,1000457,97084
727,727,2128787,55080
728,728,4272861,44379
729,729,5100109,75116
730,730,766584,81319
731,731,5454010,3459
732,732,4464629,51310
733,733,1940744,93589
734,734,120202,77767
735,735,444239,20254
736,736,2989671,22693
737,737,2754109,60310
738,738,7911552,6568
739,739,668684,59946
740,740,1354845,31008
741,741,1264365,55309
742,742,5807138,76135
743,743,6747937,43391
744,744,9689707,48395
745,745,2153102,17270
746,746,9877683,71375
747,747,1015214,64518
748,748,6893388,9818
749,749,3113992,84272
750,750,452092,22151
751,751,333016,38560
752,752,9261607,88180
753,753,3591747,28822
754,754,8626621,18210
755,755,4331450,89682
756,756,3963699,94995
757,757,37032,96748
758,758,4582875,72168
759,759,2676374,23858
760,760,7727695,94697
761,761,9436763,41310
762,762,5204513,86301
763,763,9112571,4130
764,764,2440486,44849
765,765,7526862,4945
766,766,216345,9054
767,767,1838256,80844
768,768,5598326,1687
769,769,9699494,83593
770,770,3972110,51291
771,771,2539072,7027
772,772,4030519,38138
773,773,7518645,98402
774,774,9903833,62306
775,775,8153609,18388
776,776,5865020,47601
777,777,3085600,12915
778,778,4562041,16990
779,779,1477298,96840
780,780,1023903,37130
781,781,6071357,21806
782,782,224105,6273
783,783,5678040,89083
784,784,696573,92178
785,785,1804063,86928
786,786,7203909,58782
787,787,7835043,98726
788,788,5556843,26742
789,789,7952216,76651
790,790,7637909,63610
791,791,9566369,20134
792,792,7644770,95686
793,793,1000063,16422
794,794,176394,39659
795,795,1904169,51140
796,796,8025207,19674
797,797,1084627,49424
798,798,125175,74124
799,799,5485151,98055
800,800,4566795,57494
801,801,5508113,84930
802,802,1722230,70190
803,803,7569617,38965
804,804,4457003,7857
805,805,4328694,82368
806,806,6419003,88158
807,807,4320131,11819
808,808,3153313,99989
809,809,1429734,54018
810,810,7114979,58610
811,811,8965403,25533
812,812,6339390,20957
813,813,1602756,59189
814,814,5511765,21503
815,815,2710745,42124
816,816,6485335,98063
817,817,5511359,3037
818,818,176520,13722
819,819,4852245,66544
820,820,4663470,67840
821,821,822053,42835
822,822,1106703,75156
823,823,8818146,8129
824,824,8950645,17817
825,825,4936634,90550
826,826,9254049,60985
827,827,8585145,73343
828,828,4680962,96651
829,829,3385185,5790
830,830,7371137,61834
831,831,5230669,43340
832,832,8154559,14586
833,833,5367975,62934
834,834,5552202,43936
835,835,8561145,61223
836,836,78363,62173
837,837,3794378,26616
838,838,5474332,70513
839,839,203366,17088
840,840,1842086,79868
841,841,5916974,59742
842,842,5376224,70589
843,843,8916256,70962
844,844,3831657,72103
845,845,5826479,11059
846,846,5368590,95182
847,847,4403402,40885
848,848,8412145,84083
849,849,1268207,80961
850,850,7787415,64828
851,851,1240776,13601
852,852,2169659,20973
853,853,1907605,26910
854,854,7647557,57886
855,855,9760794,41932
856,856,9132529,98789
857,857,8373992,91024
858,858,8484891,27373
859,859,4561277,55360
860,860,2246042,2611
861,861,7973580,14931
862,862,9914134,1736
863,863,5775377,43326
864,864,6727377,86091
865,865,6549577,38721
866,866,9553242,72151
867,867,905795,23219
868,868,2525970,3745
869,869,8046474,20121
870,870,7747364,1641
871,871,5547019,70664
872,872,2249034,12069
873,873,6982078,60828
874,874,3033913,85108
875,875,8274244,81239
876,876,6589265,28553
877,877,2195931,37632
878,878,2669983,83669
879,879,7479222,75673
880,880,2324699,37858
881,881,1466376,42327
882,882,97375,90713
883,883,8040835,48704
884,884,8566616,9908
885,885,8251054,83700
886,886,1403991,62742
887,887,4933397,77727
888,888,9057518,94203
889,889,3964320,51040
890,890,3195678,3088
891,891,8943369,2361
892,892,5922032,81543
893,893,8321832,46200
894,894,3070635,3016
895,895,811730,2540
896,896,9716826,17215
897,897,6082055,16796
898,898,5629436,35607
899,899,2639436,61620
900,900,3773733,34654
901,901,4418952,98943
902,902,9982766,39824
903,903,9377545,28505
904,904,9181988,50520
905,905,9261702,92803
906,906,9653477,80941
907,907,2426645,62420
908,908,1134819,45078
909,909,8893675,25117
910,910,7481082,70816
911,911,9810299,33485
912,912,7275764,73292
913,913,8328256,25364
914,914,8542647,52973
915,915,883661,82142
916,916,2819483,53939
917,917,4468830,88407
918,918,3382786,33094
919,919,957226,41280
920,920,217971,62978
921,921,1281395,29846
922,922,5041759,36247
923,923,1198845,23305
924,924,3947126,77529
925,925,7021872,87114
926,926,2242130,46705
927,927,7501115,89294
928,928,7322931,3019
929,929,9504529,60985
930,930,5731249,77031
931,931,251136,86173
932,932,498719,67175
933,933,3806659,73646
934,934,3219199,31130
935,935,1896383,54119
936,936,9464230,19461
937,937,484544,83217
938,938,6259485,10120
939,939,9570407,81943
940,940,3818190,56309
941,941,133004,57959
942,942,5082121,92502
943,943,8779055,38797
944,944,3689540,28967
945,945,6272678,88628
946,946,5066181,46952
947,947,1286095,6169
948,948,4111684,19699
949,949,7238481,49689
950,950,1913599,71892
951,951,3290530,70445
952,952,1745286,6945
953,953,7917723,17876
954,954,2513603,88328
955,955,6603449,97730
956,956,1818512,51867
957,957,4538953,69629
958,958,581702,83512
959,959,2946963,17714
960,960,268115,85505
961,961,2848211,15188
962,962,1162068,3910
963,963,5148700,92462
964,964,9103284,27709
965,965,816050,95361
966,966,7939798,1524
967,967,2734390,28864
968,968,4465275,78775
969,969,1088354,33018
970,970,9423408,600
971,971,1297467,78420
972,972,4325108,39682
973,973,6392974,32293
974,974,6186684,4660
975,975,6351908,55572
976,976,9325993,21191
977,977,9393925,80704
978,978,6961105,94719
979,979,2936675,97005
980,980,3573832,72815
981,981,2967013,15889
982,982,7720866,22299
983,983,6429987,91775
984,984,8528689,59998
985,985,9453089,19191
986,986,446091,52038
987,987,3973754,21298
988,988,3723487,92328
989,989,7526787,66993
990,990,2769824,89375
991,991,9824025,87828
992,992,2171188,13959
993,993,9466925,49026
994,994,9353943,71375
995,995,813598,93535
996,996,4008768,58256
997,997,1192354,89779
998,998,9291232,73912
999,999,2046211,96154
1000,1000,531659,87892
1001,1001,3651537,86563
1002,1002,2123628,85760
1003,1003,386368,93825
1004,1004,8662524,37031
1005,1005,6570041,98224
1006,1006,7184835,10370
1007,1007,2115696,63276
1008,1008,2187749,21661
1009,1009,2671935,64585
1010,1010,5398269,56396
1011,1011,9736761,28218
1012,1012,8979933,16526
1013,1013,3314646,85252
1014,1014,3261702,80245
1015,1015,6277209,59337
1016,1016,8553723,77185
1017,1017,1436957,57202
1018,1018,9485120,55650
1019,1019,2309904,21703
1020,1020,3189106,69947
1021,1021,6862452,4328
1022,1022,3067788,76537
1023,1023,4687902,65370
1024,1024,8625771,22106
1025,1025,7918662,32856
1026,1026,7388054,33135
1027,1027,8037833,9991
1028,1028,7684578,5421
1029,1029,3639253,3248
1030,1030,8697434,31976
1031,1031,2276389,97154
1032,1032,7167255,79351
1033,1033,90834,37101
1034,1034,8175579,57745
1035,1035,4421694,29731
1036,1036,9854157,48753
1037,1037,1601042,3755
1038,1038,5710689,4711
1039,1039,4704923,22841
1040,1040,9626973,26960
1041,1041,1294518,68573
1042,1042,183727,95631
1043,1043,2572302,58881
1044,1044,5048203,98266
1045,1045,2793805,53887
1046,1046,8755935,79348
1047,1047,8440099,28977
1048,1048,260285,28727
1049,1049,3391951,94441
1050,1050,4857907,48691
1051,1051,4131033,9373
1052,1052,4110440,7052
1053,1053,3489107,69814
1054,1054,733510,46792
1055,1055,4168082,49881
1056,1056,5790004,16976
1057,1057,270913,20296
1058,1058,7501726,49015
1059,1059,8162859,18347
1060,1060,5063394,91818
1061,1061,6775331,65205
1062,1062,525477,29355
1063,1063,3777389,43404
1064,1064,9863088,32546
1065,1065,6740100,37370
1066,1066,4860554,81401
1067,1067,348196,54102
1068,1068,5799294,13160
1069,1069,8619189,67438
1070,1070,4150362,70555
1071,1071,6623260,93354
1072,1072,1877496,8993
1073,1073,944576,35221
1074,1074,1263955,26673
1075,1075,2515286,52917
1076,1076,4400558,81102
1077,1077,7556586,2110
1078,1078,9136801,33439
1079,1079,116274,33642
1080,1080,977560,11244
1081,1081,8638910,20753
1082,1082,7664059,94722
1083,1083,2592292,17343
1084,1084,8724725,46409
1085,1085,9345390,20727
1086,1086,3919002,25009
1087,1087,6797108,65840
1088,1088,305914,35361
1089,1089,9339187,62824
1090,1090,6877986,5801
1091,1091,8554424,27476
1092,1092,2011966,82863
1093,1093,1125704,38750
1094,1094,3665212,8754
1095,1095,5223295,63011
1096,1096,1202630,88368
1097,1097,2357634,2290
1098,1098,90724,43082
1099,1099,7762524,78300
1100,1100,2602190,46150
1101,1101,8316667,29093
1102,1102,8854987,85272
1103,1103,9924472,42860
1104,1104,9253239,56507
1105,1105,3641992,84591
1106,1106,1508899,25076
1107,1107,5153996,36301
1108,1108,4986413,39483
1109,1109,1544480,55531
1110,1110,7905297,2978
1111,1111,9987066,95717
1112,1112,9573539,83515
1113,1113,4811086,62386
1114,1114,6928868,22124
1115,1115,1757949,58638
1116,1116,9034523,7789
1117,1117,4400039,23294
1118,1118,7444053,92848
1119,1119,5266451,45756
1120,1120,4607975,7147
1121,1121,6248765,41279
1122,1122,2581152,10252
1123,1123,5823577,13276
1124,1124,9024526,32195
1125,1125,4923882,11231
1126,1126,7673494,60072
1127,1127,7820280,27398
1128,1128,3328581,43287
1129,1129,2579753,68195
1130,1130,3741004,40622
1131,1131,5682081,94341
1132,1132,9221986,21
1133,1133,5500763,47737
1134,1134,6739181,4640
1135,1135,8693988,28406
1136,1136,445677,55226
1137,1137,3052763,81596
1138,1138,6553232,69791
1139,1139,7868798,68841
1140,1140,5105445,20740
1141,1141,9714017,95921
1142,1142,5587645,41867
1143,1143,3731314,28842
1144,1144,9170166,65771
1145,1145,6638400,1441
1146,1146,7111691,48344
1147,1147,750153,83200
1148,1148,6267235,63682
1149,1149,472343,429
1150,1150,9436622,91589
1151,1151,6822294,47208
1152,1152,393347,75657
1153,1153,5840187,12043
1154,1154,7878675,9579
1155,1155,4861744,51007
1156,1156,9226975,15120
1157,1157,4201096,34999
1158,1158,8379861,5864
1159,1159,3358951,42992
1160,1160,3481121,21473
1161,1161,7521089,52318
1162,1162,1739867,71772
1163,1163,7230726,74202
1164,1164,3085138,8851
1165,1165,3901577,32980
1166,1166,235435,36293
1167,1167,4627781,68270
1168,1168,2231803,49555
1169,1169,7041145,66773
1170,1170,4280531,76751
1171,1171,6363886,42152
1172,1172,1288633,20117
1173,1173,6781652,31816
1174,1174,8946559,71273
1175,1175,138356,55299
1176,1176,7157535,70290
1177,1177,2792336,64792
1178,1178,5687063,19207
1179,1179,2993347,42238
1180,1180,1160359,4641
1181,1181,2448331,76495
1182,1182,6545016,70624
1183,1183,7285961,54256
1184,1184,9490870,2620
1185,1185,6165334,64654
1186,1186,3111987,7810
1187,1187,4402006,13702
1188,1188,2493501,66962
1189,1189,6835044,82969
1190,1190,6593255,37265
1191,1191,696332,88981
1192,1192,9950683,12963
1193,1193,9967316,60691
1194,1194,290815,41494
1195,1195,1385310,2742
1196,1196,8167777,5639
1197,1197,7534354,89217
1198,1198,3145598,13411
1199,1199,2171855,10205
1200,1200,3273133,14253
1201,1201,8600258,99040
1202,1202,8055179,99547
1203,1203,6358355,47072
1204,1204,2672532,18407
1205,1205,4981212,87104
1206,1206,4665724,22746
1207,1207,4381144,31976
1208,1208,3953608,92400
1209,1209,5585391,79683
1210,1210,8036797,64043
1211,1211,5250600,19942
1212,1212,4293232,95261
1213,1213,8442160,77029
1214,1214,347118,38898
1215,1215,9894160,29013
1216,1216,8711768,88581
1217,1217,5842421,89503
1218,1218,7774211,53768
1219,1219,4287480,8541
1220,1220,9412583,1880
1221,1221,5845902,80563
1222,1222,4001278,19498
1223,1223,2027889,12636
1224,1224,88631,96099
1225,1225,7013639,45844
1226,1226,495221,38841
1227,1227,1051941,7355
1228,1228,6315493,66158
1229,1229,5134534,30057
1230,1230,9840067,15712
1231,1231,9651695,19753
