ID,MEDIDA,UNIDAD_MEDIDA,ESPECIFICACION_EMPACADO,UNIDAD_ESPECIFICACION_EMPACADO
123,132,ml,169880,volumenCm3
124,987,ml,906884,pesoGR
125,679,gr,920825,pesoGR
126,961,ml,803467,volumenCm3
127,400,ml,723115,volumenCm3
128,940,gr,719796,volumenCm3
129,385,gr,772718,pesoGR
130,471,ml,418710,volumenCm3
131,459,ml,986875,volumenCm3
132,177,ml,820538,pesoGR
133,510,gr,196581,pesoGR
134,19,ml,321459,volumenCm3
135,525,gr,165129,volumenCm3
136,937,ml,84342,volumenCm3
137,868,ml,965801,volumenCm3
138,346,gr,34481,volumenCm3
139,274,ml,668976,volumenCm3
140,760,ml,58475,pesoGR
141,798,ml,138876,pesoGR
142,136,ml,295123,volumenCm3
143,926,gr,472533,volumenCm3
144,896,ml,67325,volumenCm3
145,922,gr,363105,volumenCm3
146,890,gr,996793,pesoGR
147,48,ml,962803,pesoGR
148,134,ml,38065,volumenCm3
149,19,ml,282078,volumenCm3
150,459,gr,310410,volumenCm3
151,845,gr,858395,pesoGR
152,799,gr,982088,volumenCm3
153,994,gr,550897,pesoGR
154,323,gr,127224,volumenCm3
155,757,ml,183956,pesoGR
156,384,gr,745297,volumenCm3
157,69,gr,589695,pesoGR
158,152,gr,36732,pesoGR
159,411,ml,425547,volumenCm3
160,66,gr,139610,pesoGR
161,776,gr,669824,pesoGR
162,367,gr,180859,pesoGR
163,421,gr,951123,volumenCm3
164,535,ml,442204,pesoGR
165,7,ml,652769,volumenCm3
166,533,ml,731447,pesoGR
167,174,gr,133328,pesoGR
168,159,gr,757322,volumenCm3
169,130,ml,838185,volumenCm3
170,861,ml,411822,volumenCm3
171,730,ml,889106,pesoGR
172,237,gr,983301,pesoGR
173,608,gr,905759,volumenCm3
174,684,gr,271732,pesoGR
175,148,gr,92104,volumenCm3
176,85,ml,978434,pesoGR
177,36,ml,85392,volumenCm3
178,976,gr,594744,volumenCm3
179,188,gr,680798,pesoGR
180,862,gr,952049,pesoGR
181,119,gr,353501,volumenCm3
182,230,ml,413920,volumenCm3
183,633,gr,779543,volumenCm3
184,478,gr,108311,pesoGR
185,601,ml,825702,pesoGR
186,769,gr,177317,volumenCm3
187,537,ml,478503,volumenCm3
188,522,ml,905963,volumenCm3
189,656,gr,838240,pesoGR
190,491,gr,653730,pesoGR
191,491,ml,161060,volumenCm3
192,570,ml,346753,volumenCm3
193,122,ml,823873,pesoGR
194,988,ml,279381,volumenCm3
195,735,ml,273347,pesoGR
196,351,gr,141335,volumenCm3
197,850,ml,652012,volumenCm3
198,594,gr,189342,volumenCm3
199,962,ml,153735,pesoGR
200,508,gr,58495,volumenCm3
201,995,gr,595844,volumenCm3
202,302,gr,244961,volumenCm3
203,846,gr,474498,volumenCm3
204,606,gr,868278,pesoGR
205,937,ml,144195,pesoGR
206,269,ml,507417,pesoGR
207,193,ml,35969,pesoGR
208,979,ml,908988,volumenCm3
209,343,ml,240481,pesoGR
210,406,ml,54853,pesoGR
211,881,ml,959227,pesoGR
212,100,gr,556688,volumenCm3
213,37,gr,394168,volumenCm3
214,672,ml,937378,volumenCm3
215,952,gr,83267,volumenCm3
216,148,ml,796427,pesoGR
217,362,gr,694648,volumenCm3
218,304,gr,753221,pesoGR
219,863,gr,987238,pesoGR
220,947,ml,923813,pesoGR
221,701,gr,657501,volumenCm3
222,667,ml,444251,volumenCm3
223,374,gr,618615,pesoGR
224,497,gr,662370,volumenCm3
225,18,ml,913501,pesoGR
226,469,ml,340789,pesoGR
227,39,gr,994825,pesoGR
228,181,ml,612812,pesoGR
229,231,gr,62793,pesoGR
230,946,gr,751765,volumenCm3
231,729,gr,456128,pesoGR
232,80,ml,846345,volumenCm3
233,557,ml,397307,pesoGR
234,880,gr,140608,volumenCm3
235,316,ml,737438,pesoGR
236,597,ml,868044,volumenCm3
237,763,ml,292154,volumenCm3
238,87,ml,568222,pesoGR
239,696,gr,168177,pesoGR
240,922,ml,644240,volumenCm3
241,455,gr,988211,volumenCm3
242,131,gr,532127,volumenCm3
243,677,ml,513350,volumenCm3
244,902,ml,869516,volumenCm3
245,351,gr,761821,pesoGR
246,916,gr,410522,pesoGR
247,269,ml,304816,pesoGR
248,587,gr,992520,pesoGR
249,46,gr,964826,pesoGR
250,303,gr,866574,pesoGR
251,240,gr,613147,pesoGR
252,622,ml,883991,volumenCm3
253,854,ml,949845,pesoGR
254,23,ml,222289,pesoGR
255,353,gr,332693,pesoGR
256,662,gr,219275,volumenCm3
257,780,ml,574968,pesoGR
258,362,ml,643136,pesoGR
259,143,ml,34123,volumenCm3
260,717,gr,179074,volumenCm3
261,634,gr,683375,volumenCm3
262,441,gr,333252,pesoGR
263,725,gr,194259,volumenCm3
264,65,gr,719502,pesoGR
265,538,ml,256389,pesoGR
266,553,ml,878811,pesoGR
267,49,ml,286089,pesoGR
268,138,gr,803636,pesoGR
269,32,gr,448128,volumenCm3
270,383,gr,507096,volumenCm3
271,522,ml,752229,volumenCm3
272,576,gr,332251,volumenCm3
273,958,gr,327014,pesoGR
274,761,ml,224285,volumenCm3
275,819,gr,835079,volumenCm3
276,229,gr,59437,pesoGR
277,571,ml,688695,pesoGR
278,927,ml,387946,pesoGR
279,307,gr,865202,pesoGR
280,967,gr,598615,volumenCm3
281,114,gr,441831,volumenCm3
282,245,ml,787274,volumenCm3
283,985,ml,644570,pesoGR
284,51,gr,960321,pesoGR
285,511,ml,358584,volumenCm3
286,245,ml,623990,pesoGR
287,42,ml,493262,pesoGR
288,778,ml,827791,pesoGR
289,314,gr,958366,volumenCm3
290,181,ml,107139,volumenCm3
291,408,ml,81830,volumenCm3
292,434,gr,904334,volumenCm3
293,189,ml,627856,volumenCm3
294,293,ml,145698,volumenCm3
295,275,ml,489141,volumenCm3
296,129,gr,107437,volumenCm3
297,132,ml,658736,volumenCm3
298,972,ml,933247,volumenCm3
299,642,gr,634316,pesoGR
300,776,gr,17904,volumenCm3
301,949,ml,877943,pesoGR
302,612,gr,868557,volumenCm3
303,402,ml,572758,volumenCm3
304,503,gr,479794,volumenCm3
305,306,gr,971862,volumenCm3
306,88,gr,621572,volumenCm3
307,271,gr,956923,pesoGR
308,917,gr,158467,pesoGR
309,873,ml,533928,pesoGR
310,196,ml,88003,volumenCm3
311,818,gr,522159,pesoGR
312,877,gr,973850,volumenCm3
313,128,gr,180326,volumenCm3
314,668,ml,170202,volumenCm3
315,440,gr,408751,pesoGR
316,420,gr,959399,pesoGR
317,718,gr,717120,volumenCm3
318,537,gr,913787,pesoGR
319,106,ml,344587,volumenCm3
320,686,ml,331211,pesoGR
321,528,gr,647203,volumenCm3
322,145,gr,512767,volumenCm3
323,134,ml,719063,pesoGR
324,513,gr,812690,volumenCm3
325,580,gr,16130,pesoGR
326,280,ml,996163,volumenCm3
327,650,ml,648676,volumenCm3
328,474,ml,399063,volumenCm3
329,499,gr,812968,volumenCm3
330,803,ml,300426,volumenCm3
331,435,gr,552544,volumenCm3
332,592,gr,83697,volumenCm3
333,940,gr,255606,pesoGR
334,64,ml,207436,volumenCm3
335,74,gr,324200,pesoGR
336,170,ml,925861,pesoGR
337,764,gr,384922,volumenCm3
338,546,gr,117987,pesoGR
339,113,gr,985639,volumenCm3
340,28,ml,28525,volumenCm3
341,73,gr,829881,volumenCm3
342,901,gr,778797,pesoGR
343,32,ml,33451,volumenCm3
344,557,gr,465006,pesoGR
345,224,gr,796409,pesoGR
346,151,ml,131467,pesoGR
347,333,ml,231744,volumenCm3
348,841,ml,135028,volumenCm3
349,737,ml,393404,pesoGR
350,741,ml,256608,volumenCm3
351,74,ml,899399,volumenCm3
352,20,gr,631325,pesoGR
353,662,gr,64151,pesoGR
354,411,gr,541571,pesoGR
355,856,gr,263790,pesoGR
356,698,gr,386590,pesoGR
357,206,ml,363484,volumenCm3
358,46,gr,757334,volumenCm3
359,985,ml,285164,volumenCm3
360,807,gr,525738,volumenCm3
361,98,gr,231745,pesoGR
362,430,ml,629483,pesoGR
363,342,gr,408196,volumenCm3
364,226,ml,680422,volumenCm3
365,945,gr,546747,pesoGR
366,130,gr,111584,volumenCm3
367,374,ml,792348,volumenCm3
368,673,gr,753560,pesoGR
369,802,gr,440556,volumenCm3
370,575,gr,564569,pesoGR
371,618,ml,892938,volumenCm3
372,568,gr,675385,volumenCm3
373,288,ml,127354,pesoGR
374,549,gr,30015,volumenCm3
375,892,ml,351811,pesoGR
376,935,gr,106646,volumenCm3
377,80,gr,344510,pesoGR
378,432,ml,592572,pesoGR
379,326,ml,459733,volumenCm3
380,84,gr,941694,pesoGR
381,573,ml,960058,pesoGR
382,498,ml,681181,pesoGR
383,287,gr,892153,pesoGR
384,148,gr,47987,volumenCm3
385,685,gr,238847,volumenCm3
386,451,ml,441888,volumenCm3
387,848,gr,39416,pesoGR
388,45,gr,991707,pesoGR
389,968,gr,115967,pesoGR
390,852,gr,685524,pesoGR
391,849,ml,274530,volumenCm3
392,484,gr,469511,volumenCm3
393,261,gr,317612,volumenCm3
394,469,gr,46335,volumenCm3
395,296,gr,390631,volumenCm3
396,533,ml,164156,pesoGR
397,239,gr,997185,pesoGR
398,782,ml,875112,pesoGR
399,87,ml,868917,pesoGR
400,566,ml,655065,pesoGR
401,967,ml,386790,volumenCm3
402,594,ml,816594,pesoGR
403,803,ml,128989,volumenCm3
404,256,ml,329215,volumenCm3
405,628,ml,771959,volumenCm3
406,581,ml,497243,volumenCm3
407,523,ml,183928,volumenCm3
408,458,gr,753332,volumenCm3
409,634,gr,434535,pesoGR
410,12,ml,309742,pesoGR
411,647,ml,492147,volumenCm3
412,488,gr,709395,volumenCm3
413,542,ml,793398,volumenCm3
414,980,gr,936275,volumenCm3
415,97,ml,493625,volumenCm3
416,904,ml,459130,volumenCm3
417,296,gr,969366,volumenCm3
418,39,ml,686093,volumenCm3
419,357,ml,340218,volumenCm3
420,410,gr,876317,volumenCm3
421,772,ml,536580,pesoGR
422,264,ml,841063,volumenCm3
423,667,ml,681072,pesoGR
424,872,gr,549073,pesoGR
425,623,ml,574442,pesoGR
426,468,ml,799736,volumenCm3
427,267,gr,277337,pesoGR
428,457,ml,722008,pesoGR
429,573,ml,694275,volumenCm3
430,542,gr,165150,pesoGR
431,738,ml,133937,volumenCm3
432,217,ml,655546,pesoGR
433,586,ml,194350,pesoGR
434,423,gr,413922,volumenCm3
435,209,gr,812350,pesoGR
436,105,gr,889244,volumenCm3
437,585,ml,648357,volumenCm3
438,409,gr,903613,pesoGR
439,428,gr,367780,volumenCm3
440,392,gr,610818,pesoGR
441,807,gr,828407,pesoGR
442,198,ml,776247,pesoGR
443,56,ml,472674,pesoGR
444,840,ml,246975,volumenCm3
445,694,ml,828851,volumenCm3
446,795,gr,895057,volumenCm3
447,90,ml,292406,volumenCm3
448,54,gr,630979,pesoGR
449,100,gr,141414,pesoGR
450,233,gr,899176,pesoGR
451,176,ml,381889,volumenCm3
452,861,gr,217598,pesoGR
453,890,gr,162249,pesoGR
454,791,ml,998632,pesoGR
455,749,gr,956789,volumenCm3
456,784,gr,759385,pesoGR
457,976,ml,329270,pesoGR
458,699,gr,597617,volumenCm3
459,320,gr,349595,pesoGR
460,697,ml,528204,volumenCm3
461,254,gr,703116,volumenCm3
462,591,gr,17357,volumenCm3
463,924,ml,175024,volumenCm3
464,129,ml,940973,volumenCm3
465,891,ml,805619,pesoGR
466,569,ml,787483,pesoGR
467,854,gr,894307,volumenCm3
468,86,gr,235881,volumenCm3
469,244,ml,154393,pesoGR
470,228,gr,497214,volumenCm3
471,354,ml,700128,volumenCm3
472,274,ml,225869,volumenCm3
473,991,ml,759448,volumenCm3
474,519,gr,776347,volumenCm3
475,944,ml,289507,pesoGR
476,142,ml,606968,pesoGR
477,505,ml,871990,volumenCm3
478,9,ml,393260,pesoGR
479,769,ml,698671,volumenCm3
480,850,ml,587988,volumenCm3
481,632,gr,206506,volumenCm3
482,214,ml,764453,pesoGR
483,944,gr,169204,volumenCm3
484,505,gr,591282,pesoGR
485,287,gr,939244,volumenCm3
486,872,gr,96544,volumenCm3
487,42,gr,615353,pesoGR
488,150,ml,600078,pesoGR
489,301,gr,140747,volumenCm3
490,168,ml,471318,pesoGR
491,740,ml,605279,pesoGR
492,719,gr,783782,volumenCm3
493,187,ml,27567,pesoGR
494,774,ml,510510,pesoGR
495,248,ml,797346,volumenCm3
496,462,ml,503517,volumenCm3
497,259,ml,13399,volumenCm3
498,482,ml,35152,pesoGR
499,437,gr,266309,pesoGR
500,823,ml,783773,pesoGR
501,306,ml,156424,volumenCm3
502,49,ml,879196,volumenCm3
503,420,ml,197436,volumenCm3
504,317,ml,481292,volumenCm3
505,669,gr,302558,volumenCm3
506,465,ml,956364,volumenCm3
507,281,gr,175953,pesoGR
508,666,gr,318657,volumenCm3
509,786,ml,743990,volumenCm3
510,247,gr,723629,volumenCm3
511,929,gr,158229,volumenCm3
512,796,gr,497207,volumenCm3
513,47,gr,498481,volumenCm3
514,790,gr,220127,pesoGR
515,56,ml,606471,volumenCm3
516,771,ml,923477,volumenCm3
517,457,ml,871526,volumenCm3
518,89,gr,541388,volumenCm3
519,795,ml,102404,pesoGR
520,699,gr,335809,pesoGR
521,816,ml,428611,volumenCm3
522,701,gr,734545,pesoGR
523,475,ml,454364,volumenCm3
524,388,gr,926162,volumenCm3
525,21,ml,2880,volumenCm3
526,149,gr,219922,volumenCm3
527,150,gr,919523,pesoGR
528,99,ml,124368,pesoGR
529,822,gr,197657,pesoGR
530,424,ml,821235,volumenCm3
531,739,gr,433115,pesoGR
532,596,gr,536403,volumenCm3
533,557,ml,276537,pesoGR
534,214,gr,193037,pesoGR
535,695,gr,893014,volumenCm3
536,211,ml,508327,volumenCm3
537,303,ml,222857,pesoGR
538,594,ml,33452,volumenCm3
539,283,gr,990649,pesoGR
540,771,ml,116575,pesoGR
541,299,gr,712089,pesoGR
542,740,gr,236261,volumenCm3
543,69,gr,930108,pesoGR
544,64,gr,44883,volumenCm3
545,350,gr,333507,pesoGR
546,222,ml,204750,pesoGR
547,91,ml,641850,volumenCm3
548,864,ml,942320,pesoGR
549,926,ml,461854,pesoGR
550,78,ml,756607,pesoGR
551,567,gr,994439,volumenCm3
552,237,gr,510779,volumenCm3
553,501,ml,156374,volumenCm3
554,925,gr,482956,pesoGR
555,41,ml,288612,volumenCm3
556,649,ml,218264,pesoGR
557,641,gr,826546,volumenCm3
558,863,ml,641215,pesoGR
559,329,gr,691149,pesoGR
560,840,gr,20288,volumenCm3
561,307,gr,105673,volumenCm3
562,371,ml,976130,pesoGR
563,157,ml,743559,pesoGR
564,552,gr,247230,volumenCm3
565,938,ml,771189,volumenCm3
566,566,gr,934601,volumenCm3
567,936,gr,245373,pesoGR
568,320,gr,276653,pesoGR
569,462,ml,840106,volumenCm3
570,227,ml,978183,pesoGR
571,560,gr,186394,volumenCm3
572,895,ml,919100,volumenCm3
573,57,gr,631414,pesoGR
574,284,gr,98602,volumenCm3
575,626,gr,675860,volumenCm3
576,598,gr,918872,volumenCm3
577,177,gr,233604,volumenCm3
578,766,ml,591459,pesoGR
579,409,gr,617755,pesoGR
580,907,gr,396355,volumenCm3
581,236,gr,862163,pesoGR
582,964,ml,847585,volumenCm3
583,600,ml,509273,pesoGR
584,536,gr,949934,pesoGR
585,95,gr,626621,volumenCm3
586,797,ml,260595,pesoGR
587,7,ml,991660,pesoGR
588,969,ml,804386,volumenCm3
589,94,ml,760823,pesoGR
590,604,ml,368530,volumenCm3
591,135,gr,863881,volumenCm3
592,389,ml,137656,volumenCm3
593,967,gr,812678,pesoGR
594,570,ml,951537,volumenCm3
595,329,gr,419826,volumenCm3
596,849,gr,588474,volumenCm3
597,596,gr,846208,volumenCm3
598,13,ml,869805,pesoGR
599,959,ml,545904,volumenCm3
600,238,gr,895924,volumenCm3
601,646,ml,552660,pesoGR
602,766,gr,640004,volumenCm3
603,239,ml,500969,volumenCm3
604,785,ml,473530,volumenCm3
605,403,gr,581845,pesoGR
606,102,ml,144728,pesoGR
607,45,gr,199442,volumenCm3
608,920,gr,446199,pesoGR
609,386,gr,506126,volumenCm3
610,428,gr,33614,pesoGR
611,910,gr,187684,pesoGR
612,212,gr,185355,pesoGR
613,396,gr,500577,volumenCm3
614,615,gr,550059,pesoGR
615,457,gr,655697,pesoGR
616,992,gr,254825,pesoGR
617,781,gr,19896,pesoGR
618,562,gr,472043,pesoGR
619,310,gr,117359,pesoGR
620,491,ml,105831,volumenCm3
621,87,ml,737941,pesoGR
622,276,gr,887297,volumenCm3
623,263,ml,645697,volumenCm3
624,244,ml,350449,pesoGR
625,803,gr,660325,volumenCm3
626,153,ml,292613,volumenCm3
627,772,ml,633439,pesoGR
628,791,gr,433697,volumenCm3
629,156,gr,259044,volumenCm3
630,593,ml,375846,volumenCm3
631,622,gr,908615,pesoGR
632,742,ml,458033,pesoGR
633,230,ml,947079,pesoGR
634,651,ml,139172,volumenCm3
635,833,ml,367716,pesoGR
636,468,ml,513463,volumenCm3
637,272,ml,355294,volumenCm3
638,170,ml,999502,volumenCm3
639,647,gr,53541,pesoGR
640,510,gr,148455,pesoGR
641,980,gr,886271,pesoGR
642,204,ml,895072,pesoGR
643,78,gr,376205,volumenCm3
644,432,ml,734106,pesoGR
645,804,gr,104089,volumenCm3
646,863,gr,269089,volumenCm3
647,970,gr,753981,volumenCm3
648,505,ml,665738,pesoGR
649,870,gr,583962,pesoGR
650,58,ml,717708,volumenCm3
651,998,gr,445276,pesoGR
652,554,ml,361594,volumenCm3
653,876,gr,263565,volumenCm3
654,191,ml,111361,pesoGR
655,350,ml,494150,volumenCm3
656,655,ml,229876,volumenCm3
657,260,ml,313422,volumenCm3
658,423,gr,919803,pesoGR
659,361,gr,82449,volumenCm3
660,898,ml,608248,volumenCm3
661,815,ml,151010,pesoGR
662,661,ml,990070,pesoGR
663,252,ml,144723,volumenCm3
664,155,gr,520255,volumenCm3
665,819,ml,527250,volumenCm3
666,632,gr,992837,pesoGR
667,456,ml,243764,volumenCm3
668,427,ml,860819,pesoGR
669,715,gr,419817,volumenCm3
670,692,gr,347544,pesoGR
671,51,gr,197318,pesoGR
672,478,gr,155749,volumenCm3
673,122,ml,599704,pesoGR
674,454,ml,883871,pesoGR
675,554,ml,970678,volumenCm3
676,573,gr,43377,volumenCm3
677,548,ml,158899,pesoGR
678,519,ml,938354,volumenCm3
679,971,ml,146042,volumenCm3
680,482,gr,170227,volumenCm3
681,978,ml,435822,volumenCm3
682,504,gr,590174,pesoGR
683,410,gr,451396,volumenCm3
684,369,ml,910983,volumenCm3
685,650,gr,340965,volumenCm3
686,909,ml,128373,pesoGR
687,92,gr,952466,volumenCm3
688,728,ml,934084,volumenCm3
689,512,gr,615845,volumenCm3
690,381,gr,647998,pesoGR
691,459,ml,592114,volumenCm3
692,58,ml,741457,volumenCm3
693,449,ml,4979,pesoGR
694,381,gr,875789,pesoGR
695,715,gr,250726,volumenCm3
696,719,ml,503078,pesoGR
697,671,ml,13109,volumenCm3
698,593,gr,872151,pesoGR
699,322,ml,816067,volumenCm3
700,766,gr,796590,volumenCm3
701,406,gr,964996,volumenCm3
702,195,gr,999287,volumenCm3
703,929,gr,804734,pesoGR
704,629,ml,854786,pesoGR
705,797,ml,117749,volumenCm3
706,243,gr,995186,volumenCm3
707,174,gr,325174,volumenCm3
708,364,gr,328238,volumenCm3
709,454,ml,143362,pesoGR
710,948,ml,190762,volumenCm3
711,761,gr,715187,volumenCm3
712,440,gr,534754,volumenCm3
713,801,gr,3436,volumenCm3
714,322,gr,700240,pesoGR
715,458,ml,733416,volumenCm3
716,347,ml,614512,pesoGR
717,428,ml,806248,volumenCm3
718,385,ml,588226,pesoGR
719,855,gr,613985,pesoGR
720,752,ml,400107,pesoGR
721,332,ml,316928,pesoGR
722,921,ml,318543,pesoGR
723,637,ml,701300,pesoGR
724,577,gr,100918,volumenCm3
725,73,gr,99919,volumenCm3
726,997,ml,949170,pesoGR
727,791,ml,524098,pesoGR
728,975,gr,802682,pesoGR
729,623,gr,620229,volumenCm3
730,733,ml,570600,pesoGR
731,216,ml,879913,pesoGR
732,556,gr,156019,pesoGR
733,745,gr,668148,volumenCm3
734,759,gr,420848,pesoGR
735,150,ml,40570,volumenCm3
736,952,ml,256469,volumenCm3
737,64,ml,784791,pesoGR
738,408,ml,667631,pesoGR
739,839,ml,156868,pesoGR
740,239,gr,787960,volumenCm3
741,236,ml,949307,volumenCm3
742,478,gr,899301,pesoGR
743,835,ml,497396,pesoGR
744,321,ml,616700,volumenCm3
745,891,gr,754549,volumenCm3
746,679,ml,263634,volumenCm3
747,978,ml,642553,volumenCm3
748,645,ml,526219,pesoGR
749,923,gr,832365,pesoGR
750,767,gr,274689,pesoGR
751,279,ml,374456,pesoGR
752,432,gr,869573,volumenCm3
753,180,ml,802417,volumenCm3
754,463,ml,210777,pesoGR
755,950,gr,642016,volumenCm3
756,315,gr,681418,pesoGR
757,253,gr,388418,pesoGR
758,660,ml,311852,pesoGR
759,470,ml,340400,pesoGR
760,76,gr,631876,pesoGR
761,611,gr,377726,volumenCm3
762,369,gr,880275,volumenCm3
763,70,ml,661069,pesoGR
764,861,gr,510298,volumenCm3
765,466,gr,671440,volumenCm3
766,120,gr,806157,volumenCm3
767,567,ml,647217,pesoGR
768,682,gr,564311,pesoGR
769,150,gr,360429,volumenCm3
770,412,gr,551108,pesoGR
771,478,gr,183489,pesoGR
772,115,gr,293008,pesoGR
773,682,gr,129314,volumenCm3
774,509,gr,949747,pesoGR
775,405,ml,752398,volumenCm3
776,76,ml,685078,pesoGR
777,402,gr,511506,pesoGR
778,546,gr,505784,pesoGR
779,986,gr,203297,pesoGR
780,659,gr,392866,pesoGR
781,604,gr,118823,volumenCm3
782,237,gr,838473,volumenCm3
783,892,ml,343618,pesoGR
784,362,ml,215663,volumenCm3
785,382,gr,99477,pesoGR
786,764,gr,501760,volumenCm3
787,919,gr,209214,pesoGR
788,453,ml,134584,volumenCm3
789,235,gr,681804,pesoGR
790,99,ml,948826,pesoGR
791,545,gr,613535,pesoGR
792,149,ml,670450,pesoGR
793,93,ml,92548,volumenCm3
794,50,gr,229964,pesoGR
795,349,gr,784455,volumenCm3
796,914,ml,609613,pesoGR
797,267,ml,884271,volumenCm3
798,923,ml,217331,pesoGR
799,606,gr,699873,volumenCm3
800,649,ml,499742,pesoGR
801,751,gr,989283,volumenCm3
802,130,gr,160623,pesoGR
803,513,ml,508075,pesoGR
804,664,gr,621376,pesoGR
805,388,ml,806137,volumenCm3
806,440,gr,279188,pesoGR
807,849,ml,672319,pesoGR
808,249,ml,910589,volumenCm3
809,279,gr,132791,volumenCm3
810,148,ml,300934,pesoGR
811,770,ml,514219,volumenCm3
812,808,ml,29379,pesoGR
813,513,ml,457833,volumenCm3
814,930,ml,668262,pesoGR
815,38,gr,326901,volumenCm3
816,151,gr,572654,pesoGR
817,251,gr,965155,pesoGR
818,797,gr,386691,volumenCm3
819,483,gr,62768,volumenCm3
820,851,gr,45808,volumenCm3
821,51,gr,470535,volumenCm3
822,176,gr,777598,pesoGR
823,989,ml,808281,volumenCm3
824,696,ml,668555,volumenCm3
825,610,gr,612823,pesoGR
826,775,ml,393096,volumenCm3
827,115,ml,563302,pesoGR
828,897,gr,128546,pesoGR
829,912,ml,919008,pesoGR
830,305,ml,771190,volumenCm3
831,492,ml,835862,volumenCm3
832,801,gr,583147,volumenCm3
833,996,gr,706989,volumenCm3
834,523,ml,380263,volumenCm3
835,943,ml,796607,pesoGR
836,279,ml,497192,pesoGR
837,165,gr,214005,volumenCm3
